RCE;Établissement;Roul;Sub AE;Sub CP;ETPT;RFonc;RInv;DFonc;DInv;étu
2009-10;AIX-MARSEILLE Université;43;487853034;487883034;6752;634733724;24563574;630656707;35506674;63057
2011;AMIENS;64;151637473;151802473;2058;187935681;4000664;181678077;7973141;25274
2010;ANGERS;35;116553812;116668097;1527;146294875;1082016;143551647;9446979;21220
2013;ANTILLES;ND;78765252;78765252;940;ND;ND;ND;ND;10794
2011;ARTOIS;68;79896220;79896220;1485;95551802;240518;120122469;7195292;10135
2010;AVIGNON;47;46511043;46541043;631;55001064;4162759;53611309;8805862;6582
2010;BESANCON;46;161824135;161824135;2292;202262359;3246528;200107206;8407561;20728
2011;BORDEAUX III;53;74682690;74682690;981;87001846;1054860;84894679;3530015;14888
2010;BORDEAUX Université;27;324510977;324625262;4488;512619644;18138509;508019773;26370078;48730
2010;BREST;40;141207380;141321665;1917;184846100;5602555;183217899;12729132;17797
2010;BRETAGNE SUD;49;59422091;59422091;802;79187812;749647;80466344;4171039;8129
2011;CAEN;21;180258877;180258877;2486;222788201;2734544;220812114;7664787;25546
2009;CERGY-PONTOISE;49;117865689;117870689;1553;144015779;4345995;141155755;9640319;17044
2011;CHAMBERY;28;85235579;85235579;1092;108218413;1713805;107153709;4087615;12611
2009;CLERMONT-FERRAND I;112;91152487;91266772;1181;119372576;11140994;112276182;17058354;14757
2010;CLERMONT-FERRAND II;21;134480735;134535735;1819;165077450;3456661;162931366;5125809;15369
2009;CORSE;139;33557244;33557244;567;52800964;13172664;52726096;13342839;3993
2010;DIJON;51;187769186;188208704;2547;235084781;29308071;235451682;42428048;27408
2011;EVRY-VAL D'ESSONNE;94;66187852;66187852;839;86865400;4470654;81341306;1888907;9205
2010;GRENOBLE I;-;213733926;213923926;2967;ND;ND;ND;ND;18143
2011;GRENOBLE II;-;86600977;86612977;1238;ND;ND;ND;ND;18063
2012;GRENOBLE III;-;37973493;37973493;526;ND;ND;ND;ND;5497
2015;GUYANE;33;16215375;16215375;203;19084464;464453;17954896;1176431;2536
2013;LA REUNION;34;89362083;89516368;949;106625978;10472861;102098264;11902996;13109
2009;LA ROCHELLE;28;56533043;56533043;740;76671378;1671369;76215655;2763515;7382
2011;LE HAVRE;48;58747162;58747162;756;72082327;757408;70244636;2065553;7230
2011;LE MANS;44;69846052;69960337;920;86628097;1909673;85354763;3298212;9719
2011;LILLE I;19;193674198;193940878;2580;258028973;3138805;257564046;11070575;19380
2010;LILLE II;84;126418919;126533204;1873;165904433;5597613;168238931;8381487;28163
2012;LILLE III;66;96898517;96898517;1298;114568676;308769;111731363;3025762;18006
2009;LIMOGES;24;115093005;115307290;1554;147437255;5612169;147849415;7661451;15338
2010;LITTORAL;29;68415114;68415114;926;87966922;575954;86347695;2482332;9669
2009-11;LORRAINE Université;36;491045827;454645180;6070;533787017;23919544;529392819;35800449;54870
2009;LYON I;57;289191878;289191878;4103;377000477;8822525;366536569;26819815;38173
2012;LYON II;75;112121546;112121546;1548;134746256;9326875;129419825;11808971;29279
2010;LYON III;47;81562996;81562996;1180;102260686;974953;105768933;13024724;25828
2009;MARNE-LA-VALLEE;66;72556954;72565954;971;90996222;4845236;91646141;3836711;10556
2012;MONTPELLIER III;45;87614737;87614737;1076;104658652;1731156;102355695;3122084;18369
2015;MONTPELLIER Université;35;284281991;284411291;4013;360489387;2613730;360242971;18961496;39082
2009;MULHOUSE;77;70401958;70401958;931;99392517;395162;95446873;3146637;7692
2010;NANTES;22;238653273;238767558;3326;320145469;7023301;310646670;14797387;38271
2010;NICE;21;186048068;186322353;2534;228432316;7684496;226603510;12177574;27640
2011;NIMES;69;13368490;13368490;173;16317803;20922;16858479;1651151;3965
2011;NOUVELLE-CALEDONIE;137;23329432;23329432;213;29146159;620455;27800822;2032587;2854
2011;ORLEANS;1;132466744;132466744;1799;167733906;15125007;168135747;20837221;15826
2011;PARIS I;23;175271707;175421207;2398;221479345;1541397;220247010;3228633;39532
2010;PARIS II;68;60927853;61097853;927;83514847;0;87310562;7495691;16592
2011;PARIS III;66;90621657;90626657;1193;112857455;300000;111187362;6231508;16882
2011;PARIS IV;70;133996123;137499415;1758;166173625;545868;160981200;5612824;22627
2009;PARIS V;21;232133962;232248247;3255;305070616;12633271;300716634;20212430;32978
2009;PARIS VI;14;349440671;349440671;5272;488950411;18092553;485876998;20964004;32183
2009;PARIS VII;39;254372660;257555123;3421;310313705;3372104;306939898;10084198;23250
2012;PARIS VIII;67;116328415;116328415;1529;135174205;244959;134619663;3766270;21802
2012;PARIS X;81;161248635;161432920;2157;186415479;3944702;182891428;13703715;31459
2010;PARIS XI;44;277055238;277175238;4019;364855677;28437693;353175816;37136949;28242
2010;PARIS XII;46;188663593;188663593;2504;234288990;3685547;230679315;9633212;29271
2010;PARIS XIII;17;142044680;142044680;1953;177031031;3073230;174861573;4906164;20391
2010;PAU;4;86614863;86729148;1127;108538028;4741223;110065463;9944696;11774
2012;PERPIGNAN;52;57138375;57252660;750;69032462;518148;68334591;1936625;8673
2010;POITIERS;47;194493154;194607439;2603;239087738;6728338;227303433;24017828;24200
2013;POLYNESIE FRANCAISE;97;21635593;21635593;204;25973028;54377;27255635;2385066;3486
2011;REIMS;30;161188745;161263745;2243;192951554;2805424;194715318;8875728;23626
2010;RENNES I;35;200073537;200187822;2828;274025325;5945108;272194487;10230205;25803
2010;RENNES II;35;87344738;87344738;1203;105746177;411858;105490547;1416954;21249
2011;ROUEN;43;172099575;172099575;2343;214921392;6749669;210314259;15460177;26819
2009;SAINT-ETIENNE;44;99656076;99656076;1347;126303235;1815483;125078752;6010688;17163
2009;STRASBOURG Université;41;326362844;326492844;4604;473101982;19236176;465198293;29547361;46430
2012;TOULON;58;66427849;66427849;839;77840679;1586253;76394852;2407459;8760
2009;TOULOUSE I;115;80222366;80382366;1011;111197967;2748100;108831225;4194006;21210
2011;TOULOUSE II;60;149259998;154174807;2036;174543875;5448744;171716267;7646020;26932
2010;TOULOUSE III;29;280728238;280842523;3946;364005439;3252344;365421576;13278002;29485
2010;TOURS;47;155474170;155474170;2090;201933107;8641761;197747777;14048033;23495
2010;VALENCIENNES;87;82191736;82306021;1167;108865865;6074563;105128270;8422051;10369
2010;VERSAILLES-SAINT-QUENTIN;36;106813454;107738839;1391;145604928;1921762;140573332;4183442;15799
